,OPEN,HIGH,LOW,CLOSE,TICKVOL,THRESHOLD,CANDLE_COUNT,RSI,STOCH_D,MACD_HIST,ATR
0,2324.991,2328.821,2322.185,2325.943,8737,6064.604239841438,3,OVERBOUGHT,OVERBOUGHT,BULLISH,8.054
1,2325.95,2329.926,2322.426,2322.766,11141,5951.935582078761,2,NEUTRAL,OVERBOUGHT,BULLISH,8.027
2,2322.792,2325.09,2319.603,2324.857,9355,5951.935582078761,2,NEUTRAL,NEUTRAL,BEARISH,8.145
3,2324.879,2325.077,2320.262,2321.5,8829,5951.935582078761,2,NEUTRAL,NEUTRAL,BEARISH,8.052
4,2321.499,2322.0,2317.682,2319.252,10222,5951.935582078761,2,OVERSOLD,NEUTRAL,BEARISH,7.52
5,2319.228,2319.841,2311.641,2313.741,10399,5951.935582078761,2,OVERSOLD,OVERSOLD,BEARISH,7.57
6,2313.702,2316.524,2312.079,2312.348,9069,5951.935582078761,2,OVERSOLD,OVERSOLD,BEARISH,7.425
7,2312.333,2317.352,2309.895,2315.99,7605,5951.935582078761,1,OVERSOLD,OVERSOLD,BEARISH,6.833
8,2315.956,2323.705,2315.288,2318.536,11082,5951.935582078761,1,NEUTRAL,OVERSOLD,BEARISH,6.685
9,2318.538,2322.382,2312.28,2314.177,8015,5951.935582078761,1,NEUTRAL,NEUTRAL,BEARISH,6.577
10,2314.215,2319.104,2312.742,2314.704,7700,5951.935582078761,1,NEUTRAL,OVERSOLD,BEARISH,6.601
11,2314.755,2317.463,2311.034,2314.147,9852,5951.935582078761,2,NEUTRAL,OVERSOLD,BEARISH,6.356
12,2314.116,2315.551,2311.793,2314.618,7884,5951.935582078761,2,NEUTRAL,OVERSOLD,BEARISH,6.255
13,2314.634,2316.512,2312.723,2315.211,6005,5951.935582078761,3,OVERSOLD,OVERSOLD,BEARISH,6.265
14,2315.254,2316.275,2306.785,2307.868,10107,5879.4972726744345,2,OVERSOLD,OVERSOLD,BEARISH,6.469
15,2307.83,2317.465,2307.326,2317.082,6025,5879.4972726744345,1,NEUTRAL,OVERSOLD,BEARISH,6.658
16,2317.087,2319.298,2315.352,2319.234,7752,5879.4972726744345,2,NEUTRAL,NEUTRAL,BEARISH,6.548
17,2319.222,2321.336,2313.561,2314.693,9299,5879.4972726744345,2,NEUTRAL,NEUTRAL,BEARISH,6.759
18,2314.644,2314.909,2305.294,2305.657,6042,5879.4972726744345,1,NEUTRAL,NEUTRAL,BEARISH,7.137
19,2305.624,2309.257,2303.584,2307.302,6769,5879.4972726744345,1,NEUTRAL,OVERSOLD,BEARISH,6.957
20,2307.294,2317.098,2306.918,2315.519,9954,5879.4972726744345,2,NEUTRAL,OVERSOLD,BEARISH,7.367
21,2315.519,2319.091,2312.89,2314.488,14214,5879.4972726744345,2,NEUTRAL,NEUTRAL,BEARISH,7.277
22,2314.459,2316.23,2306.71,2310.005,14887,5879.4972726744345,1,NEUTRAL,NEUTRAL,BEARISH,7.356
23,2310.068,2317.701,2309.007,2315.468,8513,5879.4972726744345,1,OVERBOUGHT,NEUTRAL,BEARISH,7.255
24,2315.465,2320.391,2312.67,2320.391,7365,5879.4972726744345,1,OVERBOUGHT,NEUTRAL,BULLISH,7.352
25,2320.422,2321.095,2313.66,2313.861,9691,5879.4972726744345,2,NEUTRAL,OVERBOUGHT,BULLISH,7.424
26,2313.831,2313.9,2307.86,2308.174,7391,5879.4972726744345,2,NEUTRAL,NEUTRAL,BEARISH,7.587
27,2308.231,2310.687,2307.806,2308.734,6583,5879.4972726744345,3,NEUTRAL,NEUTRAL,BEARISH,7.522
28,2308.774,2312.216,2307.763,2309.944,7801,5844.930072102266,2,NEUTRAL,NEUTRAL,BEARISH,7.162
29,2309.898,2312.996,2307.849,2312.274,7804,5844.930072102266,2,OVERSOLD,NEUTRAL,BEARISH,6.806
30,2312.273,2319.735,2311.838,2316.509,9047,5844.930072102266,2,NEUTRAL,NEUTRAL,BEARISH,7.088
31,2316.468,2317.05,2307.406,2309.314,10200,5844.930072102266,2,NEUTRAL,NEUTRAL,BEARISH,7.222
32,2309.262,2313.334,2306.479,2307.633,9277,5844.930072102266,2,NEUTRAL,NEUTRAL,BEARISH,7.024
33,2307.606,2316.643,2307.281,2315.918,9508,5844.930072102266,2,NEUTRAL,NEUTRAL,BEARISH,7.288
34,2315.915,2329.421,2314.588,2326.698,10011,5844.930072102266,1,OVERBOUGHT,NEUTRAL,BULLISH,7.62
35,2326.646,2326.699,2312.064,2324.367,16740,5844.930072102266,1,NEUTRAL,OVERBOUGHT,BULLISH,8.223
36,2324.317,2338.93,2323.233,2333.319,15572,5844.930072102266,1,OVERBOUGHT,OVERBOUGHT,BULLISH,8.664
37,2333.356,2337.636,2328.118,2330.4,7871,5844.930072102266,1,OVERBOUGHT,OVERBOUGHT,BULLISH,8.723
38,2330.43,2334.997,2329.126,2334.76,10332,5844.930072102266,2,OVERBOUGHT,OVERBOUGHT,BULLISH,8.591
39,2334.761,2343.998,2333.82,2343.75,9361,5844.930072102266,2,OVERBOUGHT,OVERBOUGHT,BULLISH,8.786
40,2343.697,2347.32,2343.121,2346.032,6345,5844.930072102266,2,OVERBOUGHT,OVERBOUGHT,BULLISH,8.655
41,2346.034,2349.047,2345.851,2347.564,6367,5870.833557298876,2,OVERBOUGHT,OVERBOUGHT,BULLISH,8.677
42,2347.612,2355.814,2347.352,2350.351,9655,5870.833557298876,1,OVERBOUGHT,OVERBOUGHT,BULLISH,8.964
43,2350.298,2354.065,2347.114,2353.325,10057,5870.833557298876,2,OVERBOUGHT,OVERBOUGHT,BULLISH,9.093
44,2353.375,2358.771,2351.171,2357.131,8810,5870.833557298876,2,OVERBOUGHT,OVERBOUGHT,BULLISH,9.071
45,2357.061,2369.044,2356.004,2368.397,8372,5870.833557298876,1,OVERBOUGHT,OVERBOUGHT,BULLISH,9.314
46,2368.356,2370.382,2364.697,2366.7,7239,5870.833557298876,1,OVERBOUGHT,OVERBOUGHT,BULLISH,9.23
47,2366.733,2372.199,2365.834,2369.525,5979,5870.833557298876,1,OVERBOUGHT,OVERBOUGHT,BULLISH,9.016
48,2369.571,2375.446,2369.571,2372.469,6397,5870.833557298876,1,OVERBOUGHT,OVERBOUGHT,BULLISH,8.38
49,2372.481,2378.476,2371.053,2372.126,11720,5870.833557298876,2,OVERBOUGHT,OVERBOUGHT,BULLISH,7.865
50,2372.132,2375.766,2361.635,2364.832,11520,5870.833557298876,1,NEUTRAL,OVERBOUGHT,BULLISH,7.753
51,2364.846,2372.069,2360.114,2367.766,15220,5870.833557298876,1,NEUTRAL,OVERBOUGHT,BULLISH,7.927
52,2367.715,2373.003,2357.768,2360.607,15133,5870.833557298876,1,OVERSOLD,OVERBOUGHT,BULLISH,8.596
53,2360.575,2366.355,2356.566,2364.804,9274,5870.833557298876,1,NEUTRAL,NEUTRAL,BEARISH,8.568
54,2364.779,2369.961,2361.647,2368.235,6416,5870.833557298876,1,NEUTRAL,NEUTRAL,BEARISH,8.862
55,2368.283,2370.961,2366.581,2367.318,9699,5870.833557298876,2,NEUTRAL,NEUTRAL,BEARISH,8.947
56,2367.276,2367.482,2359.697,2360.449,7476,5870.833557298876,2,NEUTRAL,NEUTRAL,BEARISH,8.898
57,2361.401,2364.488,2359.715,2364.007,9036,5337.01095431193,3,NEUTRAL,NEUTRAL,BEARISH,8.743
58,2363.983,2364.124,2354.778,2359.135,7395,5337.01095431193,1,NEUTRAL,NEUTRAL,BEARISH,8.867
59,2359.146,2359.854,2356.228,2357.071,8638,5337.01095431193,2,OVERSOLD,OVERSOLD,BEARISH,8.195
60,2357.012,2357.043,2351.154,2352.537,7779,5337.01095431193,2,OVERSOLD,OVERSOLD,BEARISH,8.211
61,2352.597,2354.409,2347.376,2349.579,5972,5337.01095431193,1,OVERSOLD,OVERSOLD,BEARISH,8.259
62,2349.57,2351.298,2341.642,2343.232,10968,5337.01095431193,2,OVERSOLD,OVERSOLD,BEARISH,8.526
63,2343.302,2344.347,2339.029,2340.112,5370,5337.01095431193,1,OVERSOLD,OVERSOLD,BEARISH,8.376
64,2340.065,2346.659,2338.364,2344.548,12107,5337.01095431193,2,OVERSOLD,OVERSOLD,BEARISH,7.959
65,2344.469,2349.777,2343.6,2347.072,9550,5337.01095431193,1,NEUTRAL,OVERSOLD,BEARISH,7.546
66,2347.008,2349.354,2340.324,2344.074,11264,5337.01095431193,1,NEUTRAL,OVERSOLD,BEARISH,7.103
67,2344.028,2345.968,2340.735,2343.623,11405,5337.01095431193,1,NEUTRAL,OVERSOLD,BEARISH,6.777
