<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.04.11	00:00:00	2335.489	2335.972	2333.324	2335.123	5047	0	199
2024.04.11	01:00:00	2335.082	2342.260	2334.027	2340.653	7877	0	199
2024.04.11	02:00:00	2340.599	2345.790	2339.480	2343.835	4865	0	199
2024.04.11	03:00:00	2343.825	2346.939	2342.915	2343.967	4607	0	199
2024.04.11	04:00:00	2343.911	2346.089	2341.428	2342.975	4399	0	199
2024.04.11	05:00:00	2342.956	2344.557	2338.877	2341.881	5183	0	199
2024.04.11	06:00:00	2341.835	2342.170	2333.881	2335.990	7987	0	199
2024.04.11	07:00:00	2336.039	2340.669	2335.177	2336.396	7797	0	199
2024.04.11	08:00:00	2336.437	2337.953	2325.593	2327.970	8520	0	199
2024.04.11	09:00:00	2327.942	2335.278	2327.900	2330.778	6672	0	199
2024.04.11	10:00:00	2330.727	2339.200	2330.645	2338.514	6301	0	199
2024.04.11	11:00:00	2338.514	2339.678	2335.620	2337.254	5851	0	199
2024.04.11	12:00:00	2337.269	2344.369	2331.625	2341.406	16846	0	199
2024.04.11	13:00:00	2341.365	2347.431	2336.877	2343.341	16340	0	199
2024.04.11	14:00:00	2343.309	2346.824	2332.269	2338.968	18064	0	199
2024.04.11	15:00:00	2339.000	2345.533	2337.567	2344.667	8370	0	199
2024.04.11	16:00:00	2344.713	2350.802	2342.660	2349.778	7817	0	199
2024.04.11	17:00:00	2349.788	2357.232	2348.023	2356.250	9166	0	199
2024.04.11	18:00:00	2356.273	2364.997	2355.629	2361.437	7796	0	199
2024.04.11	19:00:00	2361.477	2374.624	2361.377	2372.744	7125	0	199
2024.04.11	20:00:00	2372.820	2377.721	2372.218	2373.250	5040	0	199
2024.04.11	22:00:00	2371.543	2379.373	2371.219	2373.593	3187	0	599
2024.04.11	23:00:00	2373.658	2377.113	2373.658	2377.001	4068	0	199
2024.04.12	00:00:00	2376.787	2379.126	2374.580	2378.633	4762	0	199
2024.04.12	01:00:00	2378.681	2391.426	2378.667	2390.701	19257	0	199
2024.04.12	02:00:00	2390.741	2395.458	2387.897	2390.502	11373	0	199
2024.04.12	03:00:00	2390.550	2391.196	2382.961	2384.240	6855	0	199
2024.04.12	04:00:00	2384.247	2387.023	2382.701	2384.202	4611	0	199
2024.04.12	05:00:00	2384.142	2390.087	2383.337	2387.513	5952	0	199
2024.04.12	06:00:00	2387.461	2395.193	2384.714	2395.030	8353	0	199
2024.04.12	07:00:00	2395.042	2400.348	2392.742	2399.913	9451	0	199
2024.04.12	08:00:00	2399.954	2400.640	2394.139	2396.714	7559	0	199
2024.04.12	09:00:00	2396.759	2400.194	2393.254	2398.072	6275	0	199
2024.04.12	10:00:00	2398.107	2400.420	2395.921	2398.123	6367	0	199
2024.04.12	11:00:00	2398.130	2398.144	2390.416	2395.362	8491	0	199
2024.04.12	12:00:00	2395.365	2397.679	2391.535	2395.805	13761	0	199
2024.04.12	13:00:00	2395.852	2406.544	2393.384	2404.308	25239	0	199
2024.04.12	14:00:00	2404.400	2429.074	2400.330	2426.587	27522	0	199
2024.04.12	15:00:00	2426.555	2431.527	2382.143	2395.556	45967	0	199
2024.04.12	16:00:00	2395.517	2395.517	2360.695	2369.236	35846	0	199
2024.04.12	17:00:00	2369.286	2373.111	2346.320	2355.123	27034	0	199
2024.04.12	18:00:00	2355.089	2356.642	2335.364	2338.795	15120	0	199
2024.04.12	19:00:00	2338.742	2345.422	2333.783	2343.375	11603	0	199
2024.04.12	20:00:00	2343.412	2345.169	2341.691	2344.382	4257	0	199
2024.04.14	22:00:00	2369.105	2371.920	2346.783	2356.806	7206	0	199
2024.04.14	23:00:00	2356.771	2365.290	2354.821	2364.486	4465	0	599
2024.04.15	00:00:00	2364.665	2366.003	2350.444	2353.245	11452	0	199
2024.04.15	01:00:00	2353.280	2359.776	2348.395	2355.633	18068	0	199
2024.04.15	02:00:00	2355.615	2364.654	2353.551	2359.565	10059	0	199
2024.04.15	03:00:00	2359.586	2360.403	2354.725	2358.511	7209	0	199
2024.04.15	04:00:00	2358.444	2358.691	2355.562	2356.659	4501	0	199
