,RSI,STOCH_D,MACD_HIST,LABEL
0,1,2,1,0
1,0,2,1,0
2,0,0,0,1
3,1,0,0,-1
4,1,1,1,1
5,0,0,0,1
6,0,0,0,-1
7,0,0,0,0
8,1,1,1,1
9,0,0,0,1
10,1,0,0,-1
11,0,2,1,-1
12,0,2,1,0
13,1,1,1,-1
14,1,1,1,-1
15,0,1,0,0
16,0,0,0,1
17,1,2,0,1
18,0,2,0,0
19,1,1,1,-1
20,0,2,0,0
21,0,2,0,-1
22,1,1,1,0
23,1,0,0,-1
24,1,1,1,1
25,1,2,0,1
26,1,2,0,1
27,0,0,0,-1
28,1,1,1,0
29,0,0,0,-1
30,0,2,0,1
31,0,0,0,1
32,0,2,0,-1
33,1,2,1,-1
34,1,1,1,1
35,1,0,0,0
36,0,2,1,-1
37,0,2,1,-1
38,0,0,0,0
39,1,2,1,1
40,0,0,0,1
41,0,0,0,-1
42,0,1,1,0
43,1,2,0,1
44,1,2,1,-1
45,1,1,1,0
46,1,0,0,1
47,0,0,0,0
48,0,2,1,-1
49,1,2,1,0
50,0,2,0,1
51,1,2,1,0
52,0,0,0,1
53,1,0,1,-1
54,0,2,1,-1
55,0,2,0,1
56,1,2,0,1
57,0,0,0,1
58,0,0,0,0
59,1,1,1,1
60,0,2,1,0
61,0,0,0,1
62,1,2,0,1
63,0,0,0,1
64,1,1,1,1
65,1,2,1,-1
66,1,1,1,0
67,0,2,0,-1
68,1,1,0,1
69,0,0,0,0
70,1,2,0,1
71,1,2,1,-1
72,1,1,1,-1
73,0,2,0,0
74,0,0,0,0
75,1,2,1,0
76,1,0,0,1
77,0,0,0,1
78,0,0,0,1
79,1,0,0,1
80,1,2,1,1
81,0,0,0,-1
82,0,2,1,-1
83,1,2,1,-1
84,0,2,1,0
85,0,0,0,-1
86,1,1,1,0
87,1,2,0,1
88,0,0,0,0
89,0,2,1,1
90,1,2,1,0
91,0,2,1,-1
92,1,2,1,1
93,0,2,0,1
94,0,0,0,-1
95,1,1,1,1
96,1,0,1,1
97,1,2,0,0
98,1,1,1,0
99,1,2,1,-1
100,0,2,1,1
101,0,0,0,0
102,1,1,1,0
103,0,2,0,-1
104,1,1,1,1
105,0,0,0,1
106,0,0,0,0
107,1,1,1,0
108,1,2,0,-1
109,1,1,1,1
110,1,2,0,0
111,0,0,0,1
112,1,2,0,1
113,0,0,1,-1
114,1,1,1,-1
115,0,1,1,0
116,0,0,0,0
117,0,0,0,-1
118,0,2,0,1
119,1,2,1,1
120,0,0,0,1
121,0,0,1,1
122,0,0,1,-1
